n,t,i,p,u,v
504,2.7499999999999982,3,0.002253695636371434,3.816529456285947e-05,1.8461957251634677e-05
505,2.799999999999998,1,-,-,-
506,2.799999999999998,2,-,-,-
507,2.799999999999998,3,0.0022053762064436562,3.799095518694923e-05,1.8895325492885945e-05
508,2.799999999999998,1,-,-,-
509,2.799999999999998,2,-,-,-
510,2.799999999999998,3,0.00214611877101966,3.681787035932583e-05,1.7000338374263755e-05
511,2.799999999999998,1,-,-,-
512,2.799999999999998,2,-,-,-
513,2.799999999999998,3,0.002230867721083212,4.0341440103052145e-05,2.011087651361871e-05
514,2.849999999999998,1,-,-,-
515,2.849999999999998,2,-,-,-
516,2.849999999999998,3,0.002162481487293384,4.066310234286859e-05,1.840201965682966e-05
517,2.849999999999998,1,-,-,-
518,2.849999999999998,2,-,-,-
519,2.849999999999998,3,0.0020745961397809773,4.05488555431642e-05,1.788811809369252e-05
520,2.849999999999998,1,-,-,-
521,2.849999999999998,2,-,-,-
522,2.849999999999998,3,0.0021241347075992567,4.453318894429786e-05,1.9930144923368056e-05
523,2.8999999999999977,1,-,-,-
524,2.8999999999999977,2,-,-,-
525,2.8999999999999977,3,0.002002631978072821,4.529500158461944e-05,1.8990438946407243e-05
526,2.8999999999999977,1,-,-,-
527,2.8999999999999977,2,-,-,-
528,2.8999999999999977,3,0.0018715243237095794,4.35723517649622e-05,1.909048732863909e-05
529,2.8999999999999977,1,-,-,-
530,2.8999999999999977,2,-,-,-
531,2.8999999999999977,3,0.0018811462612418398,4.49690954589038e-05,2.0095488640328422e-05
532,2.9499999999999975,1,-,-,-
533,2.9499999999999975,2,-,-,-
534,2.9499999999999975,3,0.001714463783912639,4.1699407059251244e-05,1.8302971907710405e-05
535,2.9499999999999975,1,-,-,-
536,2.9499999999999975,2,-,-,-
537,2.9499999999999975,3,0.0015671953742015493,3.8893528428909464e-05,1.7948041623896466e-05
